instance pattern_n pattern_d target_n target_d
E.15 270 0.303098 300 0.296856
E.07 270 0.296682 300 0.292664
E.11 270 0.266694 300 0.273177
B.03 540 0.0202158 600 0.0202226
B.18 540 0.0201333 600 0.0200445
C.03 900 0.0120628 1000 0.011976
A.18 180 0.0612042 200 0.0611055
F.15 270 0.285942 300 0.277547
A.19 180 0.059342 200 0.06
C.12 900 0.0120381 1000 0.011992
B.05 540 0.0202845 600 0.020089
A.13 180 0.0600869 200 0.059799
A.05 180 0.0609559 200 0.0607035
F.01 270 0.285502 300 0.275541
E.20 270 0.30475 300 0.294136
B.13 540 0.0200783 600 0.0199889
A.14 180 0.0617008 200 0.0620101
B.04 540 0.0198997 600 0.0199666
C.13 900 0.0121814 1000 0.0121882
F.07 270 0.289522 300 0.28437
E.13 270 0.319758 300 0.316789
E.14 270 0.275396 300 0.290925
A.11 180 0.0607076 200 0.060201
si6_r005_m400.07 240 0.195397 400 0.195013
si6_r005_m400.00 240 0.193584 400 0.194536
si6_r005_m400.01 240 0.196095 400 0.195288
si6_r005_m400.02 240 0.198745 400 0.194662
si6_r005_m400.04 240 0.193863 400 0.195739
si6_r005_m400.05 240 0.190446 400 0.194862
si6_r005_m400.09 240 0.197908 400 0.195689
si6_r005_m400.03 240 0.194909 400 0.195489
si6_r005_m400.06 240 0.199721 400 0.195539
si6_r005_m400.08 240 0.19728 400 0.195338
si6_m4Dr6_m625.04 375 0.027836 625 0.0212718
si6_m4Dr6_m625.01 375 0.0300606 625 0.0212718
si6_m4Dr6_m625.09 375 0.027893 625 0.0212718
si6_m4Dr6_m625.07 375 0.0284064 625 0.0212615
si6_m4Dr6_m625.00 375 0.027836 625 0.0212615
si6_m4Dr6_m625.08 375 0.0254688 625 0.0212718
si6_m4Dr6_m625.05 375 0.0284635 625 0.0212615
si6_m4Dr6_m625.06 375 0.0290624 625 0.0212718
si6_m4Dr6_m625.02 375 0.027123 625 0.0212615
si6_m4Dr6_m625.03 375 0.0286061 625 0.0212615
si4_m4Dr2_m625.09 250 0.0325141 625 0.0187077
si4_m4Dr2_m625.04 250 0.0326426 625 0.0187179
si4_m4Dr2_m625.02 250 0.0355341 625 0.0186974
si4_m4Dr2_m625.07 250 0.0377189 625 0.0187179
si4_m4Dr2_m625.00 250 0.0346345 625 0.0187179
si4_m4Dr2_m625.08 250 0.0348273 625 0.0187179
si4_m4Dr2_m625.01 250 0.0352771 625 0.0187179
si4_m4Dr2_m625.06 250 0.034249 625 0.0187179
si4_m4Dr2_m625.03 250 0.0338635 625 0.0187179
si4_m4Dr2_m625.05 250 0.0332851 625 0.0187077
si2_r001_m600.00 120 0.0616246 600 0.0403561
si2_r001_m600.06 120 0.0518207 600 0.0403561
si2_r001_m600.04 120 0.062465 600 0.040512
si2_r001_m600.07 120 0.0588235 600 0.0402671
si2_r001_m600.02 120 0.0607843 600 0.0402337
si2_r001_m600.08 120 0.0557423 600 0.040256
si2_r001_m600.03 120 0.0540616 600 0.0403116
si2_r001_m600.01 120 0.0591036 600 0.0403561
si2_r001_m600.05 120 0.0607843 600 0.0403005
si2_r001_m600.09 120 0.0596639 600 0.0403673
si2_m4Dr2_m256.09 51 0.150588 256 0.0443015
si2_m4Dr2_m256.03 51 0.131765 256 0.0442402
si2_m4Dr2_m256.04 51 0.156863 256 0.0443015
si2_m4Dr2_m256.07 51 0.130196 256 0.0442402
si2_m4Dr2_m256.00 51 0.142745 256 0.0443015
si2_m4Dr2_m256.06 51 0.131765 256 0.0443015
si2_m4Dr2_m256.08 51 0.138039 256 0.0443015
si2_m4Dr2_m256.05 51 0.156863 256 0.0443015
si2_m4Dr2_m256.01 51 0.134902 256 0.0442402
si2_m4Dr2_m256.02 51 0.145882 256 0.0443015
si6_r001_m600.09 360 0.0402352 600 0.040345
si6_r001_m600.00 360 0.0401733 600 0.040345
si6_r001_m600.07 360 0.0411328 600 0.0403895
si6_r001_m600.03 360 0.0413185 600 0.0402226
si6_r001_m600.01 360 0.0411328 600 0.0402782
si6_r001_m600.06 360 0.0412875 600 0.0401669
si6_r001_m600.08 360 0.0410399 600 0.0404007
si6_r001_m600.02 360 0.0411947 600 0.0404229
si6_r001_m600.04 360 0.0406376 600 0.0403228
si6_r001_m600.05 360 0.0417518 600 0.0404007
si2_m4Dr2_m1296.05 259 0.0302894 1296 0.00919729
si2_m4Dr2_m1296.09 259 0.0290324 1296 0.00919729
si2_m4Dr2_m1296.02 259 0.0264584 1296 0.00919729
si2_m4Dr2_m1296.07 259 0.03005 1296 0.00919491
si2_m4Dr2_m1296.00 259 0.030888 1296 0.00919729
si2_m4Dr2_m1296.06 259 0.027476 1296 0.00919729
si2_m4Dr2_m1296.08 259 0.027057 1296 0.00919729
si2_m4Dr2_m1296.01 259 0.0285535 1296 0.00919253
si2_m4Dr2_m1296.03 259 0.0289126 1296 0.00919729
si2_m4Dr2_m1296.04 259 0.0314866 1296 0.00919729
si4_b06m_m800.08 320 0.0272727 800 0.0150063
si4_b06m_m800.00 320 0.0282132 800 0.0150188
si4_b06m_m800.06 320 0.0287618 800 0.0150063
si4_b06m_m800.05 320 0.0289185 800 0.0150063
si4_b06m_m800.04 320 0.0283699 800 0.0150188
si4_b06m_m800.09 320 0.0278213 800 0.0150125
si4_b06m_m800.01 320 0.0282524 800 0.0150063
si4_b06m_m800.07 320 0.0270768 800 0.015
si4_b06m_m800.03 320 0.0262147 800 0.0150125
si4_b06m_m800.02 320 0.0279781 800 0.0150188
si6_m4Dr2_m625.08 375 0.0254973 625 0.0187077
si6_m4Dr2_m625.09 375 0.0241569 625 0.0187179
si6_m4Dr2_m625.05 375 0.0244135 625 0.0187077
si6_m4Dr2_m625.01 375 0.0285205 625 0.0187077
si6_m4Dr2_m625.06 375 0.0263529 625 0.0187179
si6_m4Dr2_m625.00 375 0.024328 625 0.0187179
si6_m4Dr2_m625.03 375 0.0265241 625 0.0187179
si6_m4Dr2_m625.02 375 0.0251266 625 0.0187077
si6_m4Dr2_m625.07 375 0.0260963 625 0.0186974
si6_m4Dr2_m625.04 375 0.0258396 625 0.0187179
si2_m4D_m1296.01 259 0.0325641 1296 0.00858001
si2_m4D_m1296.08 259 0.0397474 1296 0.00858001
si2_m4D_m1296.06 259 0.0323247 1296 0.00858001
si2_m4D_m1296.05 259 0.0415432 1296 0.00858001
si2_m4D_m1296.09 259 0.0402263 1296 0.00858001
si2_m4D_m1296.03 259 0.0323247 1296 0.00858001
si2_m4D_m1296.07 259 0.0387896 1296 0.00858001
si2_m4D_m1296.02 259 0.0401664 1296 0.00858001
si2_m4D_m1296.04 259 0.040346 1296 0.00858001
si2_m4D_m1296.00 259 0.0411242 1296 0.00858001
si4_b03_m800.05 320 0.0186912 800 0.00750939
si4_b03_m800.00 320 0.0186912 800 0.00750939
si4_b03_m800.08 320 0.0186912 800 0.00750939
si4_b03_m800.09 320 0.0186912 800 0.00750939
si4_b03_m800.03 320 0.0186912 800 0.00750939
si4_b03_m800.02 320 0.0186912 800 0.00750939
si4_b03_m800.04 320 0.0186912 800 0.00750939
si4_b03_m800.01 320 0.0186912 800 0.00750939
si4_b03_m800.06 320 0.0186912 800 0.00750939
si4_b03_m800.07 320 0.0186912 800 0.00750939
si6_m4D_m1296.02 777 0.0135998 1296 0.00858001
si6_m4D_m1296.07 777 0.00945349 1296 0.00858001
si6_m4D_m1296.05 777 0.0136528 1296 0.00858001
si6_m4D_m1296.09 777 0.00979846 1296 0.00858001
si6_m4D_m1296.00 777 0.0100041 1296 0.00858001
si6_m4D_m1296.08 777 0.0135865 1296 0.00858001
si6_m4D_m1296.04 777 0.0134273 1296 0.00858001
si6_m4D_m1296.06 777 0.00901564 1296 0.00858001
si6_m4D_m1296.01 777 0.00971222 1296 0.00858001
si6_m4D_m1296.03 777 0.00944685 1296 0.00858001
si6_r001_m200.05 120 0.0526611 200 0.0453266
si6_r001_m200.09 120 0.0535014 200 0.0450251
si6_r001_m200.07 120 0.0593838 200 0.0444221
si6_r001_m200.02 120 0.0577031 200 0.0449246
si6_r001_m200.01 120 0.0557423 200 0.0446231
si6_r001_m200.00 120 0.0593838 200 0.0442211
si6_r001_m200.04 120 0.0557423 200 0.0440201
si6_r001_m200.06 120 0.0591036 200 0.0452261
si6_r001_m200.08 120 0.0557423 200 0.0442211
si6_r001_m200.03 120 0.0540616 200 0.0447236
si4_b06_m400.06 160 0.0745283 400 0.0300752
si4_b06_m400.07 160 0.0745283 400 0.0300752
si4_b06_m400.09 160 0.0745283 400 0.0300752
si4_b06_m400.01 160 0.0745283 400 0.0300752
si4_b06_m400.04 160 0.0745283 400 0.0300752
si4_b06_m400.03 160 0.0745283 400 0.0300752
si4_b06_m400.00 160 0.0745283 400 0.0300752
si4_b06_m400.05 160 0.0745283 400 0.0300752
si4_b06_m400.08 160 0.0745283 400 0.0300752
si4_b06_m400.02 160 0.0745283 400 0.0300752
si2_m4Dr6_m256.06 51 0.134902 256 0.0504289
si2_m4Dr6_m256.05 51 0.128627 256 0.0504289
si2_m4Dr6_m256.09 51 0.122353 256 0.0503064
si2_m4Dr6_m256.00 51 0.136471 256 0.0504902
si2_m4Dr6_m256.07 51 0.120784 256 0.0504902
si2_m4Dr6_m256.04 51 0.136471 256 0.0503676
si2_m4Dr6_m256.02 51 0.152157 256 0.0504902
si2_m4Dr6_m256.01 51 0.119216 256 0.0504289
si2_m4Dr6_m256.08 51 0.120784 256 0.0504902
si2_m4Dr6_m256.03 51 0.145882 256 0.0502451
si6_r01_m200.04 120 0.384594 200 0.380905
si6_r01_m200.08 120 0.389076 200 0.379497
si6_r01_m200.02 120 0.382633 200 0.382714
si6_r01_m200.09 120 0.370868 200 0.380503
si6_r01_m200.07 120 0.378431 200 0.380704
si6_r01_m200.00 120 0.394398 200 0.381608
si6_r01_m200.01 120 0.378711 200 0.378794
si6_r01_m200.03 120 0.372549 200 0.381307
si6_r01_m200.05 120 0.376471 200 0.378894
si6_r01_m200.06 120 0.378151 200 0.377588
si2_b03m_m800.03 160 0.0286164 800 0.00750313
si2_b03m_m800.02 160 0.0301887 800 0.00749687
si2_b03m_m800.09 160 0.0283019 800 0.00749687
si2_b03m_m800.04 160 0.0294025 800 0.00750939
si2_b03m_m800.06 160 0.0295597 800 0.00750939
si2_b03m_m800.05 160 0.0294025 800 0.00750939
si2_b03m_m800.01 160 0.0294025 800 0.00750939
si2_b03m_m800.08 160 0.0284591 800 0.00750313
si2_b03m_m800.07 160 0.0292453 800 0.00750939
si2_b03m_m800.00 160 0.0295597 800 0.00750313
si2_r001_m200.06 40 0.117949 200 0.0447236
si2_r001_m200.01 40 0.123077 200 0.0451256
si2_r001_m200.02 40 0.123077 200 0.0443216
si2_r001_m200.07 40 0.138462 200 0.0458291
si2_r001_m200.04 40 0.120513 200 0.0446231
si2_r001_m200.05 40 0.112821 200 0.0454271
si2_r001_m200.09 40 0.110256 200 0.0445226
si2_r001_m200.03 40 0.117949 200 0.0451256
si2_r001_m200.00 40 0.105128 200 0.0439196
si2_r001_m200.08 40 0.117949 200 0.0445226
si6_b03m_m800.01 480 0.0111517 800 0.00750939
si6_b03m_m800.08 480 0.0114301 800 0.00750939
si6_b03m_m800.03 480 0.0113257 800 0.00750939
si6_b03m_m800.00 480 0.0111691 800 0.00750939
si6_b03m_m800.04 480 0.0113083 800 0.00750939
si6_b03m_m800.05 480 0.0111343 800 0.00750939
si6_b03m_m800.07 480 0.0113083 800 0.00750939
si6_b03m_m800.06 480 0.0110995 800 0.00749687
si6_b03m_m800.09 480 0.0112561 800 0.00750313
si6_b03m_m800.02 480 0.0113431 800 0.00750939
si4_r005_m200.00 80 0.2 200 0.195879
si4_r005_m200.08 80 0.196203 200 0.195678
si4_r005_m200.02 80 0.191139 200 0.195276
si4_r005_m200.05 80 0.212025 200 0.195578
si4_r005_m200.06 80 0.205696 200 0.196784
si4_r005_m200.04 80 0.194304 200 0.195779
si4_r005_m200.07 80 0.193038 200 0.196382
si4_r005_m200.09 80 0.191139 200 0.194472
si4_r005_m200.01 80 0.199367 200 0.195879
si4_r005_m200.03 80 0.201266 200 0.195779
si6_b09m_m400.03 240 0.0572524 400 0.0449875
si6_b09m_m400.07 240 0.0559275 400 0.0450125
si6_b09m_m400.00 240 0.0580195 400 0.0450376
si6_b09m_m400.04 240 0.0575314 400 0.0449875
si6_b09m_m400.06 240 0.0575314 400 0.0450125
si6_b09m_m400.08 240 0.060251 400 0.0450627
si6_b09m_m400.02 240 0.0583682 400 0.0449875
si6_b09m_m400.05 240 0.0589958 400 0.0449123
si6_b09m_m400.09 240 0.0557183 400 0.0449123
si6_b09m_m400.01 240 0.0578103 400 0.0450376
si2_b09_m200.08 40 0.402564 200 0.0904523
si2_b09_m200.01 40 0.4 200 0.0904523
si2_b09_m200.06 40 0.402564 200 0.0904523
si2_b09_m200.05 40 0.402564 200 0.0904523
si2_b09_m200.00 40 0.402564 200 0.0904523
si2_b09_m200.02 40 0.394872 200 0.0904523
si2_b09_m200.03 40 0.4 200 0.0904523
si2_b09_m200.04 40 0.4 200 0.0904523
si2_b09_m200.09 40 0.402564 200 0.0904523
si2_b09_m200.07 40 0.402564 200 0.0904523
si6_r01_m600.02 360 0.378675 600 0.37951
si6_r01_m600.06 360 0.382513 600 0.380367
si6_r01_m600.09 360 0.384092 600 0.379955
si6_r01_m600.08 360 0.382018 600 0.380568
si6_r01_m600.05 360 0.380997 600 0.379933
si6_r01_m600.07 360 0.378366 600 0.379444
si6_r01_m600.03 360 0.382792 600 0.380445
si6_r01_m600.00 360 0.378737 600 0.380534
si6_r01_m600.01 360 0.376818 600 0.380312
si6_r01_m600.04 360 0.382575 600 0.38
si2_b06_m200.02 40 0.292308 200 0.0603015
si2_b06_m200.00 40 0.292308 200 0.0603015
si2_b06_m200.01 40 0.292308 200 0.0603015
si2_b06_m200.06 40 0.292308 200 0.0603015
si2_b06_m200.09 40 0.292308 200 0.0603015
si2_b06_m200.07 40 0.292308 200 0.0603015
si2_b06_m200.04 40 0.292308 200 0.0603015
si2_b06_m200.08 40 0.292308 200 0.0603015
si2_b06_m200.03 40 0.292308 200 0.0603015
si2_b06_m200.05 40 0.292308 200 0.0603015
si6_m4Dr2_m1296.05 777 0.0131354 1296 0.00919729
si6_m4Dr2_m1296.09 777 0.0125781 1296 0.00919491
si6_m4Dr2_m1296.01 777 0.0133278 1296 0.00919253
si6_m4Dr2_m1296.06 777 0.0116626 1296 0.00919729
si6_m4Dr2_m1296.07 777 0.0121668 1296 0.00919729
si6_m4Dr2_m1296.03 777 0.0128435 1296 0.00919491
si6_m4Dr2_m1296.04 777 0.0131354 1296 0.00919729
si6_m4Dr2_m1296.00 777 0.0119479 1296 0.00919729
si6_m4Dr2_m1296.08 777 0.0127042 1296 0.00919491
si6_m4Dr2_m1296.02 777 0.0132747 1296 0.00919729
si2_b09m_m800.09 160 0.0561321 800 0.0224969
si2_b09m_m800.07 160 0.0517296 800 0.0225031
si2_b09m_m800.00 160 0.0624214 800 0.0225156
si2_b09m_m800.04 160 0.0577044 800 0.0224781
si2_b09m_m800.02 160 0.0660377 800 0.0224844
si2_b09m_m800.05 160 0.0575472 800 0.0225156
si2_b09m_m800.03 160 0.0597484 800 0.0224969
si2_b09m_m800.08 160 0.0545597 800 0.0224969
si2_b09m_m800.06 160 0.063522 800 0.0225282
si2_b09m_m800.01 160 0.0647799 800 0.0224969
si4_b03_m400.01 160 0.0372642 400 0.0150376
si4_b03_m400.02 160 0.0372642 400 0.0150376
si4_b03_m400.05 160 0.0372642 400 0.0150376
si4_b03_m400.07 160 0.0372642 400 0.0150376
si4_b03_m400.06 160 0.0372642 400 0.0150376
si4_b03_m400.00 160 0.0372642 400 0.0150376
si4_b03_m400.03 160 0.0372642 400 0.0150376
si4_b03_m400.04 160 0.0372642 400 0.0150376
si4_b03_m400.09 160 0.0372642 400 0.0150376
si4_b03_m400.08 160 0.0372642 400 0.0150376
si2_b03_m200.05 40 0.146154 200 0.0301508
si2_b03_m200.09 40 0.146154 200 0.0301508
si2_b03_m200.07 40 0.146154 200 0.0301508
si2_b03_m200.01 40 0.146154 200 0.0301508
si2_b03_m200.08 40 0.146154 200 0.0301508
si2_b03_m200.02 40 0.146154 200 0.0301508
si2_b03_m200.04 40 0.146154 200 0.0301508
si2_b03_m200.03 40 0.146154 200 0.0301508
si2_b03_m200.06 40 0.146154 200 0.0301508
si2_b03_m200.00 40 0.146154 200 0.0301508
si4_r005_m600.00 240 0.198815 600 0.195114
si4_r005_m600.02 240 0.191771 600 0.195303
si4_r005_m600.08 240 0.196513 600 0.195014
si4_r005_m600.05 240 0.191562 600 0.195214
si4_r005_m600.07 240 0.193166 600 0.195092
si4_r005_m600.06 240 0.19477 600 0.195492
si4_r005_m600.01 240 0.195676 600 0.194891
si4_r005_m600.04 240 0.201395 600 0.195237
si4_r005_m600.03 240 0.198257 600 0.195504
si4_r005_m600.09 240 0.188285 600 0.195003
si4_b09_m400.05 160 0.109591 400 0.0451128
si4_b09_m400.03 160 0.109434 400 0.0451128
si4_b09_m400.00 160 0.109591 400 0.0451128
si4_b09_m400.07 160 0.109434 400 0.0451128
si4_b09_m400.01 160 0.109591 400 0.0451128
si4_b09_m400.06 160 0.109434 400 0.0451128
si4_b09_m400.04 160 0.109434 400 0.0451128
si4_b09_m400.02 160 0.109434 400 0.0451128
si4_b09_m400.08 160 0.109434 400 0.0451128
si4_b09_m400.09 160 0.109434 400 0.0451128
si4_b06m_m400.06 160 0.0553459 400 0.0300251
si4_b06m_m400.03 160 0.0572327 400 0.0300251
si4_b06m_m400.01 160 0.0559748 400 0.0299749
si4_b06m_m400.08 160 0.0548742 400 0.0300501
si4_b06m_m400.05 160 0.0490566 400 0.0300752
si4_b06m_m400.07 160 0.0555031 400 0.0300752
si4_b06m_m400.00 160 0.054717 400 0.0299749
si4_b06m_m400.04 160 0.0566038 400 0.0300752
si4_b06m_m400.09 160 0.0534591 400 0.0300251
si4_b06m_m400.02 160 0.0550314 400 0.0300251
si2_m4Dr2_m625.05 125 0.0676129 625 0.0187179
si2_m4Dr2_m625.00 125 0.0516129 625 0.0187077
si2_m4Dr2_m625.08 125 0.0709677 625 0.0187179
si2_m4Dr2_m625.09 125 0.0616774 625 0.0187077
si2_m4Dr2_m625.06 125 0.0567742 625 0.0187077
si2_m4Dr2_m625.04 125 0.056 625 0.0187179
si2_m4Dr2_m625.01 125 0.0614194 625 0.0187179
si2_m4Dr2_m625.03 125 0.0547097 625 0.0187179
si2_m4Dr2_m625.02 125 0.0544516 625 0.0187179
si2_m4Dr2_m625.07 125 0.0513548 625 0.0187179
si2_r005_m200.02 40 0.246154 200 0.195075
si2_r005_m200.01 40 0.212821 200 0.195075
si2_r005_m200.03 40 0.205128 200 0.195879
si2_r005_m200.05 40 0.246154 200 0.196382
si2_r005_m200.08 40 0.212821 200 0.194673
si2_r005_m200.04 40 0.217949 200 0.196281
si2_r005_m200.09 40 0.202564 200 0.194372
si2_r005_m200.06 40 0.228205 200 0.195276
si2_r005_m200.00 40 0.220513 200 0.194774
si2_r005_m200.07 40 0.217949 200 0.195578
si4_b03m_m400.03 160 0.031761 400 0.0150125
si4_b03m_m400.09 160 0.0322327 400 0.0150376
si4_b03m_m400.08 160 0.031761 400 0.0150125
si4_b03m_m400.04 160 0.0319182 400 0.0150376
si4_b03m_m400.00 160 0.0316038 400 0.0150376
si4_b03m_m400.01 160 0.0311321 400 0.0150376
si4_b03m_m400.07 160 0.0319182 400 0.0150376
si4_b03m_m400.02 160 0.0312893 400 0.0150376
si4_b03m_m400.06 160 0.0305031 400 0.0150376
si4_b03m_m400.05 160 0.0325472 400 0.0150376
si2_r01_m600.01 120 0.386555 600 0.3801
si2_r01_m600.06 120 0.377871 600 0.380167
si2_r01_m600.09 120 0.393277 600 0.379978
si2_r01_m600.08 120 0.368067 600 0.380256
si2_r01_m600.04 120 0.389076 600 0.379388
si2_r01_m600.02 120 0.362185 600 0.380501
si2_r01_m600.00 120 0.370308 600 0.379677
si2_r01_m600.07 120 0.370028 600 0.379332
si2_r01_m600.03 120 0.378151 600 0.38
si2_r01_m600.05 120 0.37507 600 0.380746
si4_m4Dr6_m256.01 102 0.0803727 256 0.0504289
si4_m4Dr6_m256.00 102 0.0792079 256 0.0505515
si4_m4Dr6_m256.05 102 0.0795962 256 0.0503676
si4_m4Dr6_m256.08 102 0.0726073 256 0.0504902
si4_m4Dr6_m256.03 102 0.0858086 256 0.0501838
si4_m4Dr6_m256.06 102 0.0858086 256 0.0505515
si4_m4Dr6_m256.09 102 0.0811493 256 0.0504902
si4_m4Dr6_m256.07 102 0.0761017 256 0.0505515
si4_m4Dr6_m256.02 102 0.085032 256 0.0504289
si4_m4Dr6_m256.04 102 0.0803727 256 0.0504902
si2_b03m_m400.02 80 0.0607595 400 0.0150376
si2_b03m_m400.00 80 0.0594937 400 0.0150376
si2_b03m_m400.01 80 0.056962 400 0.0150125
si2_b03m_m400.05 80 0.0594937 400 0.0149875
si2_b03m_m400.08 80 0.0588608 400 0.0150125
si2_b03m_m400.07 80 0.0556962 400 0.0150125
si2_b03m_m400.09 80 0.0582278 400 0.0150376
si2_b03m_m400.03 80 0.0594937 400 0.0150376
si2_b03m_m400.04 80 0.0563291 400 0.0150376
si2_b03m_m400.06 80 0.0563291 400 0.0150376
si2_b03m_m200.05 40 0.128205 200 0.0301508
si2_b03m_m200.03 40 0.115385 200 0.0301508
si2_b03m_m200.00 40 0.120513 200 0.0300503
si2_b03m_m200.08 40 0.123077 200 0.0301508
si2_b03m_m200.06 40 0.120513 200 0.0301508
si2_b03m_m200.02 40 0.117949 200 0.0300503
si2_b03m_m200.09 40 0.115385 200 0.0301508
si2_b03m_m200.04 40 0.110256 200 0.0300503
si2_b03m_m200.01 40 0.115385 200 0.0301508
si2_b03m_m200.07 40 0.112821 200 0.0300503
si4_r001_m200.04 80 0.0696203 200 0.0447236
si4_r001_m200.07 80 0.0721519 200 0.0445226
si4_r001_m200.00 80 0.0658228 200 0.0442211
si4_r001_m200.01 80 0.0721519 200 0.0449246
si4_r001_m200.03 80 0.0689873 200 0.0438191
si4_r001_m200.06 80 0.0740506 200 0.0443216
si4_r001_m200.05 80 0.0689873 200 0.0448241
si4_r001_m200.08 80 0.0702532 200 0.0450251
si4_r001_m200.09 80 0.0708861 200 0.0446231
si4_r001_m200.02 80 0.0753165 200 0.0453266
si2_m4D_m256.08 51 0.163137 256 0.0411765
si2_m4D_m256.03 51 0.166275 256 0.0411765
si2_m4D_m256.02 51 0.156863 256 0.0411765
si2_m4D_m256.06 51 0.166275 256 0.0411765
si2_m4D_m256.04 51 0.150588 256 0.0411765
si2_m4D_m256.07 51 0.158431 256 0.0411765
si2_m4D_m256.01 51 0.166275 256 0.0411765
si2_m4D_m256.09 51 0.156863 256 0.0411765
si2_m4D_m256.00 51 0.16 256 0.0411765
si2_m4D_m256.05 51 0.167843 256 0.0411765
si6_r01_m400.04 240 0.379568 400 0.380351
si6_r01_m400.08 240 0.387796 400 0.380576
si6_r01_m400.07 240 0.378033 400 0.380075
si6_r01_m400.06 240 0.380962 400 0.38015
si6_r01_m400.05 240 0.375593 400 0.379774
si6_r01_m400.02 240 0.376081 400 0.3799
si6_r01_m400.00 240 0.377615 400 0.379799
si6_r01_m400.03 240 0.384031 400 0.380301
si6_r01_m400.01 240 0.383612 400 0.379724
si6_r01_m400.09 240 0.379498 400 0.381103
si2_m4Dr4_m625.07 125 0.0578065 625 0.02
si2_m4Dr4_m625.02 125 0.0536774 625 0.0199795
si2_m4Dr4_m625.03 125 0.0676129 625 0.0199692
si2_m4Dr4_m625.00 125 0.0621935 625 0.0199795
si2_m4Dr4_m625.05 125 0.0611613 625 0.0199897
si2_m4Dr4_m625.06 125 0.051871 625 0.0199897
si2_m4Dr4_m625.09 125 0.0498065 625 0.0199692
si2_m4Dr4_m625.01 125 0.0536774 625 0.02
si2_m4Dr4_m625.08 125 0.0539355 625 0.02
si2_m4Dr4_m625.04 125 0.0557419 625 0.0199897
si4_r01_m400.01 160 0.382547 400 0.380351
si4_r01_m400.08 160 0.382233 400 0.3799
si4_r01_m400.02 160 0.378774 400 0.3801
si4_r01_m400.03 160 0.367296 400 0.380727
si4_r01_m400.07 160 0.37673 400 0.379799
si4_r01_m400.06 160 0.373899 400 0.378722
si4_r01_m400.04 160 0.377516 400 0.380201
si4_r01_m400.00 160 0.384748 400 0.380627
si4_r01_m400.05 160 0.380818 400 0.37995
si4_r01_m400.09 160 0.37673 400 0.38015
si2_b09m_m400.09 80 0.103797 400 0.0450627
si2_b09m_m400.03 80 0.115823 400 0.0450627
si2_b09m_m400.01 80 0.0987342 400 0.0451128
si2_b09m_m400.08 80 0.107595 400 0.0450125
si2_b09m_m400.05 80 0.131013 400 0.0450125
