instance densityA densityB
mcs10_b06m_s80_AB00 0.0379747 0.0379747
mcs10_b06m_s80_AB01 0.0379747 0.0379747
mcs10_b06m_s80_AB02 0.0379747 0.0379747
mcs10_b06m_s80_AB03 0.0379747 0.0379747
mcs10_b06m_s80_AB04 0.0379747 0.0379747
mcs10_b06m_s80_AB05 0.0379747 0.0379747
mcs10_b06m_s80_AB06 0.0379747 0.0379747
mcs10_b06m_s80_AB07 0.0379747 0.0379747
mcs10_b06m_s80_AB08 0.0379747 0.0379747
mcs10_b06m_s80_AB09 0.0379747 0.0379747
mcs10_b06m_s90_AB00 0.0337079 0.0337079
mcs10_b06m_s90_AB01 0.0337079 0.0337079
mcs10_b06m_s90_AB02 0.0337079 0.0337079
mcs10_b06m_s90_AB03 0.0337079 0.0337079
mcs10_b06m_s90_AB04 0.0337079 0.0337079
mcs10_b06m_s90_AB05 0.0337079 0.0337079
mcs10_b06m_s90_AB06 0.0337079 0.0337079
mcs10_b06m_s90_AB07 0.0337079 0.0337079
mcs10_b06m_s90_AB08 0.0337079 0.0337079
mcs10_b06m_s90_AB09 0.0337079 0.0337079
mcs10_b09_s100_AB00 0.0454545 0.0454545
mcs10_b09_s100_AB01 0.0454545 0.0454545
mcs10_b09_s100_AB02 0.0454545 0.0454545
mcs10_b09_s100_AB03 0.0454545 0.0454545
mcs10_b09_s100_AB04 0.0454545 0.0454545
mcs10_b09_s100_AB05 0.0454545 0.0454545
mcs10_b09_s100_AB06 0.0454545 0.0454545
mcs10_b09_s100_AB07 0.0454545 0.0454545
mcs10_b09_s100_AB08 0.0454545 0.0454545
mcs10_b09_s100_AB09 0.0454545 0.0454545
mcs10_b09m_s100_AB00 0.0454545 0.0454545
mcs10_b09m_s100_AB01 0.0454545 0.0454545
mcs10_b09m_s100_AB02 0.0454545 0.0454545
mcs10_b09m_s100_AB03 0.0454545 0.0454545
mcs10_b09m_s100_AB04 0.0454545 0.0454545
mcs10_b09m_s100_AB05 0.0454545 0.0454545
mcs10_b09m_s100_AB06 0.0454545 0.0454545
mcs10_b09m_s100_AB07 0.0454545 0.0454545
mcs10_b09m_s100_AB08 0.0454545 0.0454545
mcs10_b09m_s100_AB09 0.0454545 0.0454545
mcs10_m2D_s100_AB00 0.0181818 0.0181818
mcs10_m2D_s100_AB01 0.0181818 0.0181818
mcs10_m2D_s100_AB02 0.0181818 0.0181818
mcs10_m2D_s100_AB03 0.0181818 0.0181818
mcs10_m2D_s100_AB04 0.0181818 0.0181818
mcs10_m2D_s100_AB05 0.0181818 0.0181818
mcs10_m2D_s100_AB06 0.0181818 0.0181818
mcs10_m2D_s100_AB07 0.0181818 0.0181818
mcs10_m2D_s100_AB08 0.0181818 0.0181818
mcs10_m2D_s100_AB09 0.0181818 0.0181818
mcs10_m2D_s40_AB00 0.0429487 0.0429487
mcs10_m2D_s40_AB01 0.0429487 0.0429487
mcs10_m2D_s40_AB02 0.0429487 0.0429487
mcs10_m2D_s40_AB03 0.0429487 0.0429487
mcs10_m2D_s40_AB04 0.0429487 0.0429487
mcs10_m2D_s40_AB05 0.0429487 0.0429487
mcs10_m2D_s40_AB06 0.0429487 0.0429487
mcs10_m2D_s40_AB07 0.0429487 0.0429487
mcs10_m2D_s40_AB08 0.0429487 0.0429487
mcs10_m2D_s40_AB09 0.0429487 0.0429487
mcs10_m2D_s50_AB00 0.0346939 0.0346939
mcs10_m2D_s50_AB01 0.0346939 0.0346939
mcs10_m2D_s50_AB02 0.0346939 0.0346939
mcs10_m2D_s50_AB03 0.0346939 0.0346939
mcs10_m2D_s50_AB04 0.0346939 0.0346939
mcs10_m2D_s50_AB05 0.0346939 0.0346939
mcs10_m2D_s50_AB06 0.0346939 0.0346939
mcs10_m2D_s50_AB07 0.0346939 0.0346939
mcs10_m2D_s50_AB08 0.0346939 0.0346939
mcs10_m2D_s50_AB09 0.0346939 0.0346939
mcs10_m2D_s60_AB00 0.0293785 0.0293785
mcs10_m2D_s60_AB01 0.0293785 0.0293785
mcs10_m2D_s60_AB02 0.0293785 0.0293785
mcs10_m2D_s60_AB03 0.0293785 0.0293785
mcs10_m2D_s60_AB04 0.0293785 0.0293785
mcs10_m2D_s60_AB05 0.0293785 0.0293785
mcs10_m2D_s60_AB06 0.0293785 0.0293785
mcs10_m2D_s60_AB07 0.0293785 0.0293785
mcs10_m2D_s60_AB08 0.0293785 0.0293785
mcs10_m2D_s60_AB09 0.0293785 0.0293785
mcs10_m2D_s70_AB00 0.0254658 0.0254658
mcs10_m2D_s70_AB01 0.0254658 0.0254658
mcs10_m2D_s70_AB02 0.0254658 0.0254658
mcs10_m2D_s70_AB03 0.0254658 0.0254658
mcs10_m2D_s70_AB04 0.0254658 0.0254658
mcs10_m2D_s70_AB05 0.0254658 0.0254658
mcs10_m2D_s70_AB06 0.0254658 0.0254658
mcs10_m2D_s70_AB07 0.0254658 0.0254658
mcs10_m2D_s70_AB08 0.0254658 0.0254658
mcs10_m2D_s70_AB09 0.0254658 0.0254658
mcs10_m2D_s80_AB00 0.0224684 0.0224684
mcs10_m2D_s80_AB01 0.0224684 0.0224684
mcs10_m2D_s80_AB02 0.0224684 0.0224684
mcs10_m2D_s80_AB03 0.0224684 0.0224684
mcs10_m2D_s80_AB04 0.0224684 0.0224684
mcs10_m2D_s80_AB05 0.0224684 0.0224684
mcs10_m2D_s80_AB06 0.0224684 0.0224684
mcs10_m2D_s80_AB07 0.0224684 0.0224684
mcs10_m2D_s80_AB08 0.0224684 0.0224684
mcs10_m2D_s80_AB09 0.0224684 0.0224684
mcs10_m2D_s90_AB00 0.0200999 0.0200999
mcs10_m2D_s90_AB01 0.0200999 0.0200999
mcs10_m2D_s90_AB02 0.0200999 0.0200999
mcs10_m2D_s90_AB03 0.0200999 0.0200999
mcs10_m2D_s90_AB04 0.0200999 0.0200999
mcs10_m2D_s90_AB05 0.0200999 0.0200999
mcs10_m2D_s90_AB06 0.0200999 0.0200999
mcs10_m2D_s90_AB07 0.0200999 0.0200999
mcs10_m2D_s90_AB08 0.0200999 0.0200999
mcs10_m2D_s90_AB09 0.0200999 0.0200999
mcs10_m2Dr2_s100_AB00 0.020202 0.020202
mcs10_m2Dr2_s100_AB01 0.020202 0.020202
mcs10_m2Dr2_s100_AB02 0.020202 0.020101
mcs10_m2Dr2_s100_AB03 0.020202 0.020101
mcs10_m2Dr2_s100_AB04 0.020202 0.020202
mcs10_m2Dr2_s100_AB05 0.020202 0.020202
mcs10_m2Dr2_s100_AB06 0.020202 0.020202
mcs10_m2Dr2_s100_AB07 0.020202 0.020101
mcs10_m2Dr2_s100_AB08 0.020101 0.020101
mcs10_m2Dr2_s100_AB09 0.020202 0.020202
mcs10_m2Dr2_s70_AB00 0.0283644 0.0281573
mcs10_m2Dr2_s70_AB01 0.0283644 0.0283644
mcs10_m2Dr2_s70_AB02 0.0283644 0.0283644
mcs10_m2Dr2_s70_AB03 0.0283644 0.0283644
mcs10_m2Dr2_s70_AB04 0.0283644 0.0283644
mcs10_m2Dr2_s70_AB05 0.0283644 0.0283644
mcs10_m2Dr2_s70_AB06 0.0283644 0.0283644
mcs10_m2Dr2_s70_AB07 0.0283644 0.0283644
mcs10_m2Dr2_s70_AB08 0.0283644 0.0281573
mcs10_m2Dr2_s70_AB09 0.0283644 0.0281573
mcs10_m2Dr2_s80_AB00 0.025 0.025
mcs10_m2Dr2_s80_AB01 0.025 0.025
mcs10_m2Dr2_s80_AB02 0.025 0.025
mcs10_m2Dr2_s80_AB03 0.025 0.025
mcs10_m2Dr2_s80_AB04 0.025 0.025
mcs10_m2Dr2_s80_AB05 0.025 0.025
mcs10_m2Dr2_s80_AB06 0.025 0.025
mcs10_m2Dr2_s80_AB07 0.025 0.025
mcs10_m2Dr2_s80_AB08 0.025 0.025
mcs10_m2Dr2_s80_AB09 0.025 0.0248418
mcs10_m2Dr2_s90_AB00 0.0223471 0.0223471
mcs10_m2Dr2_s90_AB01 0.0223471 0.0223471
mcs10_m2Dr2_s90_AB02 0.0223471 0.0223471
mcs10_m2Dr2_s90_AB03 0.0223471 0.0223471
mcs10_m2Dr2_s90_AB04 0.0223471 0.0223471
mcs10_m2Dr2_s90_AB05 0.0223471 0.0223471
mcs10_m2Dr2_s90_AB06 0.0223471 0.0223471
mcs10_m2Dr2_s90_AB07 0.0223471 0.0223471
mcs10_m2Dr2_s90_AB08 0.0223471 0.0223471
mcs10_m2Dr2_s90_AB09 0.0223471 0.0223471
mcs10_m2Dr4_s100_AB00 0.0222222 0.0221212
mcs10_m2Dr4_s100_AB01 0.0222222 0.0222222
mcs10_m2Dr4_s100_AB02 0.0222222 0.0220202
mcs10_m2Dr4_s100_AB03 0.0222222 0.0222222
mcs10_m2Dr4_s100_AB04 0.0221212 0.0221212
mcs10_m2Dr4_s100_AB05 0.0222222 0.0222222
mcs10_m2Dr4_s100_AB06 0.0222222 0.0221212
mcs10_m2Dr4_s100_AB07 0.0222222 0.0222222
mcs10_m2Dr4_s100_AB08 0.0222222 0.0222222
mcs10_m2Dr4_s100_AB09 0.0222222 0.0222222
mcs10_m2Dr4_s40_AB00 0.0532051 0.0525641
mcs10_m2Dr4_s40_AB01 0.0532051 0.0525641
mcs10_m2Dr4_s40_AB02 0.0532051 0.0532051
mcs10_m2Dr4_s40_AB03 0.0532051 0.0525641
mcs10_m2Dr4_s40_AB04 0.0532051 0.0532051
mcs10_m2Dr4_s40_AB05 0.0532051 0.0525641
mcs10_m2Dr4_s40_AB06 0.0532051 0.0525641
mcs10_m2Dr4_s40_AB07 0.0532051 0.0532051
mcs10_m2Dr4_s40_AB08 0.0532051 0.0532051
mcs10_m2Dr4_s40_AB09 0.0532051 0.0532051
mcs10_m2Dr4_s50_AB00 0.0428571 0.0428571
mcs10_m2Dr4_s50_AB01 0.0428571 0.0428571
mcs10_m2Dr4_s50_AB02 0.0428571 0.042449
mcs10_m2Dr4_s50_AB03 0.0428571 0.0428571
mcs10_m2Dr4_s50_AB04 0.0428571 0.0428571
mcs10_m2Dr4_s50_AB05 0.0428571 0.042449
mcs10_m2Dr4_s50_AB06 0.0428571 0.042449
mcs10_m2Dr4_s50_AB07 0.0428571 0.0428571
mcs10_m2Dr4_s50_AB08 0.0428571 0.042449
mcs10_m2Dr4_s50_AB09 0.0428571 0.042449
mcs10_m2Dr4_s60_AB00 0.0358757 0.0358757
mcs10_m2Dr4_s60_AB01 0.0361582 0.0361582
mcs10_m2Dr4_s60_AB02 0.0361582 0.0358757
mcs10_m2Dr4_s60_AB03 0.0361582 0.0361582
mcs10_m2Dr4_s60_AB04 0.0361582 0.0361582
mcs10_m2Dr4_s60_AB05 0.0358757 0.0358757
mcs10_m2Dr4_s60_AB06 0.0361582 0.0358757
mcs10_m2Dr4_s60_AB07 0.0361582 0.0358757
mcs10_m2Dr4_s60_AB08 0.0361582 0.0361582
mcs10_m2Dr4_s60_AB09 0.0361582 0.0358757
mcs10_m2Dr4_s70_AB00 0.0312629 0.0312629
mcs10_m2Dr4_s70_AB01 0.0312629 0.0310559
mcs10_m2Dr4_s70_AB02 0.0312629 0.0310559
mcs10_m2Dr4_s70_AB03 0.0312629 0.0310559
mcs10_m2Dr4_s70_AB04 0.0312629 0.0312629
mcs10_m2Dr4_s70_AB05 0.0312629 0.0310559
mcs10_m2Dr4_s70_AB06 0.0312629 0.0310559
mcs10_m2Dr4_s70_AB07 0.0312629 0.0312629
mcs10_m2Dr4_s70_AB08 0.0312629 0.0312629
mcs10_m2Dr4_s70_AB09 0.0312629 0.0310559
mcs10_m2Dr4_s80_AB00 0.0275316 0.0273734
mcs10_m2Dr4_s80_AB01 0.0275316 0.0275316
mcs10_m2Dr4_s80_AB02 0.0275316 0.0275316
mcs10_m2Dr4_s80_AB03 0.0275316 0.0273734
mcs10_m2Dr4_s80_AB04 0.0275316 0.0273734
mcs10_m2Dr4_s80_AB05 0.0275316 0.0273734
mcs10_m2Dr4_s80_AB06 0.0273734 0.0272152
mcs10_m2Dr4_s80_AB07 0.0275316 0.0275316
mcs10_m2Dr4_s80_AB08 0.0275316 0.0275316
mcs10_m2Dr4_s80_AB09 0.0275316 0.0272152
mcs10_m2Dr4_s90_AB00 0.0245943 0.0245943
mcs10_m2Dr4_s90_AB01 0.0245943 0.0243446
mcs10_m2Dr4_s90_AB02 0.0245943 0.0244694
mcs10_m2Dr4_s90_AB03 0.0245943 0.0245943
mcs10_m2Dr4_s90_AB04 0.0245943 0.0243446
mcs10_m2Dr4_s90_AB05 0.0245943 0.0244694
mcs10_m2Dr4_s90_AB06 0.0245943 0.0243446
mcs10_m2Dr4_s90_AB07 0.0245943 0.0245943
mcs10_m2Dr4_s90_AB08 0.0245943 0.0244694
mcs10_m2Dr4_s90_AB09 0.0245943 0.0245943
mcs10_m2Dr6_s100_AB00 0.0242424 0.0241414
mcs10_m2Dr6_s100_AB01 0.0242424 0.0242424
mcs10_m2Dr6_s100_AB02 0.0242424 0.0242424
mcs10_m2Dr6_s100_AB03 0.0242424 0.0240404
mcs10_m2Dr6_s100_AB04 0.0242424 0.0240404
mcs10_m2Dr6_s100_AB05 0.0242424 0.0240404
mcs10_m2Dr6_s100_AB06 0.0242424 0.0240404
mcs10_m2Dr6_s100_AB07 0.0242424 0.0241414
mcs10_m2Dr6_s100_AB08 0.0242424 0.0240404
mcs10_m2Dr6_s100_AB09 0.0241414 0.0241414
mcs10_m2Dr6_s40_AB00 0.0583333 0.0576923
mcs10_m2Dr6_s40_AB01 0.0583333 0.0576923
mcs10_m2Dr6_s40_AB02 0.0583333 0.0576923
mcs10_m2Dr6_s40_AB03 0.0583333 0.0583333
mcs10_m2Dr6_s40_AB04 0.0583333 0.0576923
mcs10_m2Dr6_s40_AB05 0.0583333 0.0576923
mcs10_m2Dr6_s40_AB06 0.0583333 0.0576923
mcs10_m2Dr6_s40_AB07 0.0576923 0.0576923
mcs10_m2Dr6_s40_AB08 0.0583333 0.0576923
mcs10_m2Dr6_s40_AB09 0.0583333 0.0576923
mcs10_m2Dr6_s50_AB00 0.0469388 0.0469388
mcs10_m2Dr6_s50_AB01 0.0469388 0.0465306
mcs10_m2Dr6_s50_AB02 0.0469388 0.0465306
mcs10_m2Dr6_s50_AB03 0.0465306 0.0461224
mcs10_m2Dr6_s50_AB04 0.0465306 0.0461224
mcs10_m2Dr6_s50_AB05 0.0469388 0.0461224
mcs10_m2Dr6_s50_AB06 0.0469388 0.0465306
mcs10_m2Dr6_s50_AB07 0.0469388 0.0461224
mcs10_m2Dr6_s50_AB08 0.0469388 0.0461224
mcs10_m2Dr6_s50_AB09 0.0469388 0.0465306
mcs10_m2Dr6_s60_AB00 0.039548 0.039548
mcs10_m2Dr6_s60_AB01 0.0392655 0.0389831
mcs10_m2Dr6_s60_AB02 0.039548 0.039548
mcs10_m2Dr6_s60_AB03 0.0392655 0.0392655
mcs10_m2Dr6_s60_AB04 0.039548 0.0389831
mcs10_m2Dr6_s60_AB05 0.0392655 0.0392655
mcs10_m2Dr6_s60_AB06 0.039548 0.039548
mcs10_m2Dr6_s60_AB07 0.039548 0.039548
mcs10_m2Dr6_s60_AB08 0.039548 0.0389831
mcs10_m2Dr6_s60_AB09 0.039548 0.0392655
mcs10_m2Dr6_s70_AB00 0.0341615 0.0341615
mcs10_m2Dr6_s70_AB01 0.0341615 0.0341615
mcs10_m2Dr6_s70_AB02 0.0341615 0.0339545
mcs10_m2Dr6_s70_AB03 0.0341615 0.0341615
mcs10_m2Dr6_s70_AB04 0.0341615 0.0339545
mcs10_m2Dr6_s70_AB05 0.0341615 0.0339545
mcs10_m2Dr6_s70_AB06 0.0341615 0.0333333
mcs10_m2Dr6_s70_AB07 0.0341615 0.0341615
mcs10_m2Dr6_s70_AB08 0.0341615 0.0341615
mcs10_m2Dr6_s70_AB09 0.0341615 0.0341615
mcs10_m2Dr6_s80_AB00 0.0300633 0.0299051
mcs10_m2Dr6_s80_AB01 0.0300633 0.0300633
mcs10_m2Dr6_s80_AB02 0.0300633 0.0297468
mcs10_m2Dr6_s80_AB03 0.0300633 0.0299051
mcs10_m2Dr6_s80_AB04 0.0300633 0.0300633
mcs10_m2Dr6_s80_AB05 0.0299051 0.0297468
mcs10_m2Dr6_s80_AB06 0.0300633 0.0297468
mcs10_m2Dr6_s80_AB07 0.0300633 0.0299051
mcs10_m2Dr6_s80_AB08 0.0300633 0.0299051
mcs10_m2Dr6_s80_AB09 0.0300633 0.0300633
mcs10_m2Dr6_s90_AB00 0.0268414 0.0268414
mcs10_m2Dr6_s90_AB01 0.0268414 0.0268414
mcs10_m2Dr6_s90_AB02 0.0268414 0.0268414
mcs10_m2Dr6_s90_AB03 0.0268414 0.0267166
mcs10_m2Dr6_s90_AB04 0.0268414 0.0268414
mcs10_m2Dr6_s90_AB05 0.0268414 0.0265918
mcs10_m2Dr6_s90_AB06 0.0268414 0.0265918
mcs10_m2Dr6_s90_AB07 0.0268414 0.0267166
