instance pattern_n pattern_d target_n target_d family
si6_m4Dr6_m625.09 375 0.0139465 625 0.0106359 6
si6_m4Dr6_m625.07 375 0.0142032 625 0.0106308 6
si6_m4Dr6_m625.00 375 0.013918 625 0.0106308 6
si6_m4Dr6_m625.08 375 0.0127344 625 0.0106359 6
si6_m4Dr6_m625.05 375 0.0142317 625 0.0106308 6
si6_m4Dr6_m625.06 375 0.0145312 625 0.0106359 6
si6_m4Dr6_m625.02 375 0.0135615 625 0.0106308 6
si6_m4Dr6_m625.03 375 0.014303 625 0.0106308 6
si4_m4Dr2_m625.09 250 0.016257 625 0.00935385 6
si4_m4Dr2_m625.04 250 0.0163213 625 0.00935897 6
si4_m4Dr2_m625.02 250 0.0177671 625 0.00934872 6
si4_m4Dr2_m625.07 250 0.0188594 625 0.00935897 6
si4_m4Dr2_m625.00 250 0.0173173 625 0.00935897 6
si4_m4Dr2_m625.08 250 0.0174137 625 0.00935897 6
si4_m4Dr2_m625.01 250 0.0176386 625 0.00935897 6
si4_m4Dr2_m625.06 250 0.0171245 625 0.00935897 6
si4_m4Dr2_m625.03 250 0.0169317 625 0.00935897 6
si4_m4Dr2_m625.05 250 0.0166426 625 0.00935385 6
si2_r001_m600.00 120 0.0308123 600 0.0201781 7
si2_r001_m600.06 120 0.0259104 600 0.0201781 7
si2_r001_m600.04 120 0.0312325 600 0.020256 7
si2_r001_m600.07 120 0.0294118 600 0.0201336 7
si2_r001_m600.02 120 0.0303922 600 0.0201169 7
si2_r001_m600.08 120 0.0278711 600 0.020128 7
si2_r001_m600.03 120 0.0270308 600 0.0201558 7
si2_r001_m600.01 120 0.0295518 600 0.0201781 7
si2_r001_m600.05 120 0.0303922 600 0.0201503 7
si2_r001_m600.09 120 0.0298319 600 0.0201836 7
si2_m4Dr2_m256.09 51 0.0752941 256 0.0221507 6
si2_m4Dr2_m256.03 51 0.0658824 256 0.0221201 6
si2_m4Dr2_m256.04 51 0.0784314 256 0.0221507 6
si2_m4Dr2_m256.07 51 0.065098 256 0.0221201 6
si2_m4Dr2_m256.00 51 0.0713725 256 0.0221507 6
si2_m4Dr2_m256.06 51 0.0658824 256 0.0221507 6
si2_m4Dr2_m256.08 51 0.0690196 256 0.0221507 6
si2_m4Dr2_m256.05 51 0.0784314 256 0.0221507 6
si2_m4Dr2_m256.01 51 0.067451 256 0.0221201 6
si2_m4Dr2_m256.02 51 0.0729412 256 0.0221507 6
si6_r001_m600.09 360 0.0201176 600 0.0201725 7
si6_r001_m600.00 360 0.0200867 600 0.0201725 7
si6_r001_m600.07 360 0.0205664 600 0.0201948 7
si6_r001_m600.03 360 0.0206592 600 0.0201113 7
si6_r001_m600.01 360 0.0205664 600 0.0201391 7
si6_r001_m600.06 360 0.0206438 600 0.0200835 7
si6_r001_m600.08 360 0.02052 600 0.0202003 7
si6_r001_m600.02 360 0.0205973 600 0.0202115 7
si6_r001_m600.04 360 0.0203188 600 0.0201614 7
si6_r001_m600.05 360 0.0208759 600 0.0202003 7
si2_m4Dr2_m1296.05 259 0.0151447 1296 0.00459865 6
si2_m4Dr2_m1296.09 259 0.0145162 1296 0.00459865 6
si2_m4Dr2_m1296.02 259 0.0132292 1296 0.00459865 6
si2_m4Dr2_m1296.07 259 0.015025 1296 0.00459745 6
si2_m4Dr2_m1296.00 259 0.015444 1296 0.00459865 6
si2_m4Dr2_m1296.06 259 0.013738 1296 0.00459865 6
si2_m4Dr2_m1296.08 259 0.0135285 1296 0.00459865 6
si2_m4Dr2_m1296.01 259 0.0142767 1296 0.00459626 6
si2_m4Dr2_m1296.03 259 0.0144563 1296 0.00459865 6
si2_m4Dr2_m1296.04 259 0.0157433 1296 0.00459865 6
si4_b06m_m800.08 320 0.0136364 800 0.00750313 4
si4_b06m_m800.00 320 0.0141066 800 0.00750939 4
si4_b06m_m800.06 320 0.0143809 800 0.00750313 4
si4_b06m_m800.05 320 0.0144592 800 0.00750313 4
si4_b06m_m800.04 320 0.014185 800 0.00750939 4
si4_b06m_m800.09 320 0.0139107 800 0.00750626 4
si4_b06m_m800.01 320 0.0141262 800 0.00750313 4
si4_b06m_m800.07 320 0.0135384 800 0.0075 4
si4_b06m_m800.03 320 0.0131074 800 0.00750626 4
si4_b06m_m800.02 320 0.013989 800 0.00750939 4
si6_m4Dr2_m625.08 375 0.0127487 625 0.00935385 6
si6_m4Dr2_m625.09 375 0.0120784 625 0.00935897 6
si6_m4Dr2_m625.05 375 0.0122068 625 0.00935385 6
si6_m4Dr2_m625.01 375 0.0142602 625 0.00935385 6
si6_m4Dr2_m625.06 375 0.0131765 625 0.00935897 6
si6_m4Dr2_m625.00 375 0.012164 625 0.00935897 6
si6_m4Dr2_m625.03 375 0.013262 625 0.00935897 6
si6_m4Dr2_m625.02 375 0.0125633 625 0.00935385 6
si6_m4Dr2_m625.07 375 0.0130481 625 0.00934872 6
si6_m4Dr2_m625.04 375 0.0129198 625 0.00935897 6
si2_m4D_m1296.01 259 0.0162821 1296 0.00429 5
si2_m4D_m1296.08 259 0.0198737 1296 0.00429 5
si2_m4D_m1296.06 259 0.0161623 1296 0.00429 5
si2_m4D_m1296.05 259 0.0207716 1296 0.00429 5
si2_m4D_m1296.09 259 0.0201131 1296 0.00429 5
si2_m4D_m1296.03 259 0.0161623 1296 0.00429 5
si2_m4D_m1296.07 259 0.0193948 1296 0.00429 5
si2_m4D_m1296.02 259 0.0200832 1296 0.00429 5
si2_m4D_m1296.04 259 0.020173 1296 0.00429 5
si2_m4D_m1296.00 259 0.0205621 1296 0.00429 5
si4_b03_m800.05 320 0.00934561 800 0.00375469 3
si4_b03_m800.00 320 0.00934561 800 0.00375469 3
si4_b03_m800.08 320 0.00934561 800 0.00375469 3
si4_b03_m800.09 320 0.00934561 800 0.00375469 3
si4_b03_m800.03 320 0.00934561 800 0.00375469 3
si4_b03_m800.02 320 0.00934561 800 0.00375469 3
si4_b03_m800.04 320 0.00934561 800 0.00375469 3
si4_b03_m800.01 320 0.00934561 800 0.00375469 3
si4_b03_m800.06 320 0.00934561 800 0.00375469 3
si4_b03_m800.07 320 0.00934561 800 0.00375469 3
si6_m4D_m1296.02 777 0.00679988 1296 0.00429 5
si6_m4D_m1296.07 777 0.00472674 1296 0.00429 5
si6_m4D_m1296.05 777 0.00682641 1296 0.00429 5
si6_m4D_m1296.09 777 0.00489923 1296 0.00429 5
si6_m4D_m1296.00 777 0.00500206 1296 0.00429 5
si6_m4D_m1296.08 777 0.00679324 1296 0.00429 5
si6_m4D_m1296.04 777 0.00671364 1296 0.00429 5
si6_m4D_m1296.06 777 0.00450782 1296 0.00429 5
si6_m4D_m1296.01 777 0.00485611 1296 0.00429 5
si6_m4D_m1296.03 777 0.00472343 1296 0.00429 5
si6_r001_m200.05 120 0.0263305 200 0.0226633 7
si6_r001_m200.09 120 0.0267507 200 0.0225126 7
si6_r001_m200.07 120 0.0296919 200 0.0222111 7
si6_r001_m200.02 120 0.0288515 200 0.0224623 7
si6_r001_m200.01 120 0.0278711 200 0.0223116 7
si6_r001_m200.00 120 0.0296919 200 0.0221106 7
si6_r001_m200.04 120 0.0278711 200 0.0220101 7
si6_r001_m200.06 120 0.0295518 200 0.0226131 7
si6_r001_m200.08 120 0.0278711 200 0.0221106 7
si6_r001_m200.03 120 0.0270308 200 0.0223618 7
si4_b06_m400.06 160 0.0372642 400 0.0150376 3
si4_b06_m400.07 160 0.0372642 400 0.0150376 3
si4_b06_m400.09 160 0.0372642 400 0.0150376 3
si4_b06_m400.01 160 0.0372642 400 0.0150376 3
si4_b06_m400.04 160 0.0372642 400 0.0150376 3
si4_b06_m400.03 160 0.0372642 400 0.0150376 3
si4_b06_m400.00 160 0.0372642 400 0.0150376 3
si4_b06_m400.05 160 0.0372642 400 0.0150376 3
si4_b06_m400.08 160 0.0372642 400 0.0150376 3
si4_b06_m400.02 160 0.0372642 400 0.0150376 3
si2_m4Dr6_m256.06 51 0.067451 256 0.0252145 6
si2_m4Dr6_m256.05 51 0.0643137 256 0.0252145 6
si2_m4Dr6_m256.09 51 0.0611765 256 0.0251532 6
si2_m4Dr6_m256.00 51 0.0682353 256 0.0252451 6
si2_m4Dr6_m256.07 51 0.0603922 256 0.0252451 6
si2_m4Dr6_m256.04 51 0.0682353 256 0.0251838 6
si2_m4Dr6_m256.02 51 0.0760784 256 0.0252451 6
si2_m4Dr6_m256.01 51 0.0596078 256 0.0252145 6
si2_m4Dr6_m256.08 51 0.0603922 256 0.0252451 6
si2_m4Dr6_m256.03 51 0.0729412 256 0.0251225 6
si6_r01_m200.04 120 0.192297 200 0.190452 7
si6_r01_m200.08 120 0.194538 200 0.189749 7
si6_r01_m200.02 120 0.191317 200 0.191357 7
si6_r01_m200.09 120 0.185434 200 0.190251 7
si6_r01_m200.07 120 0.189216 200 0.190352 7
si6_r01_m200.00 120 0.197199 200 0.190804 7
si6_r01_m200.01 120 0.189356 200 0.189397 7
si6_r01_m200.03 120 0.186275 200 0.190653 7
si6_r01_m200.05 120 0.188235 200 0.189447 7
si6_r01_m200.06 120 0.189076 200 0.188794 7
si2_b03m_m800.03 160 0.0143082 800 0.00375156 4
si2_b03m_m800.02 160 0.0150943 800 0.00374844 4
si2_b03m_m800.09 160 0.0141509 800 0.00374844 4
si2_b03m_m800.04 160 0.0147013 800 0.00375469 4
si2_b03m_m800.06 160 0.0147799 800 0.00375469 4
si2_b03m_m800.05 160 0.0147013 800 0.00375469 4
si2_b03m_m800.01 160 0.0147013 800 0.00375469 4
si2_b03m_m800.08 160 0.0142296 800 0.00375156 4
si2_b03m_m800.07 160 0.0146226 800 0.00375469 4
si2_b03m_m800.00 160 0.0147799 800 0.00375156 4
si2_r001_m200.06 40 0.0589744 200 0.0223618 7
si2_r001_m200.01 40 0.0615385 200 0.0225628 7
si2_r001_m200.02 40 0.0615385 200 0.0221608 7
si2_r001_m200.07 40 0.0692308 200 0.0229146 7
si2_r001_m200.04 40 0.0602564 200 0.0223116 7
si2_r001_m200.05 40 0.0564103 200 0.0227136 7
si2_r001_m200.09 40 0.0551282 200 0.0222613 7
si2_r001_m200.03 40 0.0589744 200 0.0225628 7
si2_r001_m200.00 40 0.0525641 200 0.0219598 7
si2_r001_m200.08 40 0.0589744 200 0.0222613 7
si6_b03m_m800.01 480 0.00557585 800 0.00375469 4
si6_b03m_m800.08 480 0.00571503 800 0.00375469 4
si6_b03m_m800.03 480 0.00566284 800 0.00375469 4
si6_b03m_m800.00 480 0.00558455 800 0.00375469 4
si6_b03m_m800.04 480 0.00565414 800 0.00375469 4
si6_b03m_m800.05 480 0.00556715 800 0.00375469 4
si6_b03m_m800.07 480 0.00565414 800 0.00375469 4
si6_b03m_m800.06 480 0.00554976 800 0.00374844 4
si6_b03m_m800.09 480 0.00562804 800 0.00375156 4
si6_b03m_m800.02 480 0.00567154 800 0.00375469 4
si4_r005_m200.00 80 0.1 200 0.0979397 7
si4_r005_m200.08 80 0.0981013 200 0.0978392 7
si4_r005_m200.02 80 0.0955696 200 0.0976382 7
si4_r005_m200.05 80 0.106013 200 0.0977889 7
si4_r005_m200.06 80 0.102848 200 0.098392 7
si4_r005_m200.04 80 0.0971519 200 0.0978894 7
si4_r005_m200.07 80 0.096519 200 0.098191 7
si4_r005_m200.09 80 0.0955696 200 0.0972362 7
si4_r005_m200.01 80 0.0996835 200 0.0979397 7
si4_r005_m200.03 80 0.100633 200 0.0978894 7
si6_b09m_m400.03 240 0.0286262 400 0.0224937 4
si6_b09m_m400.07 240 0.0279637 400 0.0225063 4
si6_b09m_m400.00 240 0.0290098 400 0.0225188 4
si6_b09m_m400.04 240 0.0287657 400 0.0224937 4
si6_b09m_m400.06 240 0.0287657 400 0.0225063 4
si6_b09m_m400.08 240 0.0301255 400 0.0225313 4
si6_b09m_m400.02 240 0.0291841 400 0.0224937 4
si6_b09m_m400.05 240 0.0294979 400 0.0224561 4
si6_b09m_m400.09 240 0.0278591 400 0.0224561 4
si6_b09m_m400.01 240 0.0289052 400 0.0225188 4
si2_b09_m200.08 40 0.201282 200 0.0452261 3
si2_b09_m200.01 40 0.2 200 0.0452261 3
si2_b09_m200.06 40 0.201282 200 0.0452261 3
si2_b09_m200.05 40 0.201282 200 0.0452261 3
si2_b09_m200.00 40 0.201282 200 0.0452261 3
si2_b09_m200.02 40 0.197436 200 0.0452261 3
si2_b09_m200.03 40 0.2 200 0.0452261 3
si2_b09_m200.04 40 0.2 200 0.0452261 3
si2_b09_m200.09 40 0.201282 200 0.0452261 3
si2_b09_m200.07 40 0.201282 200 0.0452261 3
si6_r01_m600.02 360 0.189338 600 0.189755 7
si6_r01_m600.06 360 0.191257 600 0.190184 7
si6_r01_m600.09 360 0.192046 600 0.189978 7
si6_r01_m600.08 360 0.191009 600 0.190284 7
si6_r01_m600.05 360 0.190498 600 0.189967 7
si6_r01_m600.07 360 0.189183 600 0.189722 7
si6_r01_m600.03 360 0.191396 600 0.190223 7
si6_r01_m600.00 360 0.189369 600 0.190267 7
si6_r01_m600.01 360 0.188409 600 0.190156 7
si6_r01_m600.04 360 0.191288 600 0.19 7
si2_b06_m200.02 40 0.146154 200 0.0301508 3
si2_b06_m200.00 40 0.146154 200 0.0301508 3
si2_b06_m200.01 40 0.146154 200 0.0301508 3
si2_b06_m200.06 40 0.146154 200 0.0301508 3
si2_b06_m200.09 40 0.146154 200 0.0301508 3
si2_b06_m200.07 40 0.146154 200 0.0301508 3
si2_b06_m200.04 40 0.146154 200 0.0301508 3
si2_b06_m200.08 40 0.146154 200 0.0301508 3
si2_b06_m200.03 40 0.146154 200 0.0301508 3
si2_b06_m200.05 40 0.146154 200 0.0301508 3
si6_m4Dr2_m1296.05 777 0.00656769 1296 0.00459865 6
si6_m4Dr2_m1296.09 777 0.00628906 1296 0.00459745 6
si6_m4Dr2_m1296.01 777 0.00666388 1296 0.00459626 6
si6_m4Dr2_m1296.06 777 0.00583131 1296 0.00459865 6
si6_m4Dr2_m1296.07 777 0.0060834 1296 0.00459865 6
si6_m4Dr2_m1296.03 777 0.00642174 1296 0.00459745 6
si6_m4Dr2_m1296.04 777 0.00656769 1296 0.00459865 6
si6_m4Dr2_m1296.00 777 0.00597394 1296 0.00459865 6
si6_m4Dr2_m1296.08 777 0.00635208 1296 0.00459745 6
si6_m4Dr2_m1296.02 777 0.00663734 1296 0.00459865 6
si2_b09m_m800.09 160 0.028066 800 0.0112484 4
si2_b09m_m800.07 160 0.0258648 800 0.0112516 4
si2_b09m_m800.00 160 0.0312107 800 0.0112578 4
si2_b09m_m800.04 160 0.0288522 800 0.011239 4
si2_b09m_m800.02 160 0.0330189 800 0.0112422 4
si2_b09m_m800.05 160 0.0287736 800 0.0112578 4
si2_b09m_m800.03 160 0.0298742 800 0.0112484 4
si2_b09m_m800.08 160 0.0272799 800 0.0112484 4
si2_b09m_m800.06 160 0.031761 800 0.0112641 4
si2_b09m_m800.01 160 0.0323899 800 0.0112484 4
si4_b03_m400.01 160 0.0186321 400 0.0075188 3
si4_b03_m400.02 160 0.0186321 400 0.0075188 3
si4_b03_m400.05 160 0.0186321 400 0.0075188 3
si4_b03_m400.07 160 0.0186321 400 0.0075188 3
si4_b03_m400.06 160 0.0186321 400 0.0075188 3
si4_b03_m400.00 160 0.0186321 400 0.0075188 3
si4_b03_m400.03 160 0.0186321 400 0.0075188 3
si4_b03_m400.04 160 0.0186321 400 0.0075188 3
si4_b03_m400.09 160 0.0186321 400 0.0075188 3
si4_b03_m400.08 160 0.0186321 400 0.0075188 3
si2_b03_m200.05 40 0.0730769 200 0.0150754 3
si2_b03_m200.09 40 0.0730769 200 0.0150754 3
si2_b03_m200.07 40 0.0730769 200 0.0150754 3
si2_b03_m200.01 40 0.0730769 200 0.0150754 3
si2_b03_m200.08 40 0.0730769 200 0.0150754 3
si2_b03_m200.02 40 0.0730769 200 0.0150754 3
si2_b03_m200.04 40 0.0730769 200 0.0150754 3
si2_b03_m200.03 40 0.0730769 200 0.0150754 3
si2_b03_m200.06 40 0.0730769 200 0.0150754 3
si2_b03_m200.00 40 0.0730769 200 0.0150754 3
si4_r005_m600.00 240 0.0994073 600 0.097557 7
si4_r005_m600.02 240 0.0958856 600 0.0976516 7
si4_r005_m600.08 240 0.0982566 600 0.097507 7
si4_r005_m600.05 240 0.095781 600 0.0976071 7
si4_r005_m600.07 240 0.096583 600 0.0975459 7
si4_r005_m600.06 240 0.0973849 600 0.0977462 7
si4_r005_m600.01 240 0.0978382 600 0.0974457 7
si4_r005_m600.04 240 0.100697 600 0.0976183 7
si4_r005_m600.03 240 0.0991283 600 0.0977518 7
si4_r005_m600.09 240 0.0941423 600 0.0975014 7
si4_b09_m400.05 160 0.0547956 400 0.0225564 3
si4_b09_m400.03 160 0.054717 400 0.0225564 3
si4_b09_m400.00 160 0.0547956 400 0.0225564 3
si4_b09_m400.07 160 0.054717 400 0.0225564 3
si4_b09_m400.01 160 0.0547956 400 0.0225564 3
si4_b09_m400.06 160 0.054717 400 0.0225564 3
si4_b09_m400.04 160 0.054717 400 0.0225564 3
si4_b09_m400.02 160 0.054717 400 0.0225564 3
si4_b09_m400.08 160 0.054717 400 0.0225564 3
si4_b09_m400.09 160 0.054717 400 0.0225564 3
si4_b06m_m400.06 160 0.027673 400 0.0150125 4
si4_b06m_m400.03 160 0.0286164 400 0.0150125 4
si4_b06m_m400.01 160 0.0279874 400 0.0149875 4
si4_b06m_m400.08 160 0.0274371 400 0.0150251 4
si4_b06m_m400.05 160 0.0245283 400 0.0150376 4
si4_b06m_m400.07 160 0.0277516 400 0.0150376 4
si4_b06m_m400.00 160 0.0273585 400 0.0149875 4
si4_b06m_m400.04 160 0.0283019 400 0.0150376 4
si4_b06m_m400.09 160 0.0267296 400 0.0150125 4
si4_b06m_m400.02 160 0.0275157 400 0.0150125 4
si2_m4Dr2_m625.05 125 0.0338065 625 0.00935897 6
si2_m4Dr2_m625.00 125 0.0258065 625 0.00935385 6
si2_m4Dr2_m625.08 125 0.0354839 625 0.00935897 6
si2_m4Dr2_m625.09 125 0.0308387 625 0.00935385 6
si2_m4Dr2_m625.06 125 0.0283871 625 0.00935385 6
si2_m4Dr2_m625.04 125 0.028 625 0.00935897 6
si2_m4Dr2_m625.01 125 0.0307097 625 0.00935897 6
si2_m4Dr2_m625.03 125 0.0273548 625 0.00935897 6
si2_m4Dr2_m625.02 125 0.0272258 625 0.00935897 6
si2_m4Dr2_m625.07 125 0.0256774 625 0.00935897 6
si2_r005_m200.02 40 0.123077 200 0.0975377 7
si2_r005_m200.01 40 0.10641 200 0.0975377 7
si2_r005_m200.03 40 0.102564 200 0.0979397 7
si2_r005_m200.05 40 0.123077 200 0.098191 7
si2_r005_m200.08 40 0.10641 200 0.0973367 7
si2_r005_m200.04 40 0.108974 200 0.0981407 7
si2_r005_m200.09 40 0.101282 200 0.0971859 7
si2_r005_m200.06 40 0.114103 200 0.0976382 7
si2_r005_m200.00 40 0.110256 200 0.0973869 7
si2_r005_m200.07 40 0.108974 200 0.0977889 7
si4_b03m_m400.03 160 0.0158805 400 0.00750627 4
si4_b03m_m400.09 160 0.0161164 400 0.0075188 4
si4_b03m_m400.08 160 0.0158805 400 0.00750627 4
si4_b03m_m400.04 160 0.0159591 400 0.0075188 4
si4_b03m_m400.00 160 0.0158019 400 0.0075188 4
si4_b03m_m400.01 160 0.015566 400 0.0075188 4
si4_b03m_m400.07 160 0.0159591 400 0.0075188 4
si4_b03m_m400.02 160 0.0156447 400 0.0075188 4
si4_b03m_m400.06 160 0.0152516 400 0.0075188 4
si4_b03m_m400.05 160 0.0162736 400 0.0075188 4
si2_r01_m600.01 120 0.193277 600 0.19005 7
si2_r01_m600.06 120 0.188936 600 0.190083 7
si2_r01_m600.09 120 0.196639 600 0.189989 7
si2_r01_m600.08 120 0.184034 600 0.190128 7
si2_r01_m600.04 120 0.194538 600 0.189694 7
si2_r01_m600.02 120 0.181092 600 0.19025 7
si2_r01_m600.00 120 0.185154 600 0.189839 7
si2_r01_m600.07 120 0.185014 600 0.189666 7
si2_r01_m600.03 120 0.189076 600 0.19 7
si2_r01_m600.05 120 0.187535 600 0.190373 7
si4_m4Dr6_m256.01 102 0.0401864 256 0.0252145 6
si4_m4Dr6_m256.00 102 0.039604 256 0.0252757 6
si4_m4Dr6_m256.05 102 0.0397981 256 0.0251838 6
si4_m4Dr6_m256.08 102 0.0363036 256 0.0252451 6
si4_m4Dr6_m256.03 102 0.0429043 256 0.0250919 6
si4_m4Dr6_m256.06 102 0.0429043 256 0.0252757 6
si4_m4Dr6_m256.09 102 0.0405746 256 0.0252451 6
si4_m4Dr6_m256.07 102 0.0380509 256 0.0252757 6
si4_m4Dr6_m256.02 102 0.042516 256 0.0252145 6
si4_m4Dr6_m256.04 102 0.0401864 256 0.0252451 6
si2_b03m_m400.02 80 0.0303797 400 0.0075188 4
si2_b03m_m400.00 80 0.0297468 400 0.0075188 4
si2_b03m_m400.01 80 0.028481 400 0.00750627 4
si2_b03m_m400.05 80 0.0297468 400 0.00749373 4
si2_b03m_m400.08 80 0.0294304 400 0.00750627 4
si2_b03m_m400.07 80 0.0278481 400 0.00750627 4
si2_b03m_m400.09 80 0.0291139 400 0.0075188 4
si2_b03m_m400.03 80 0.0297468 400 0.0075188 4
si2_b03m_m400.04 80 0.0281646 400 0.0075188 4
si2_b03m_m400.06 80 0.0281646 400 0.0075188 4
si2_b03m_m200.05 40 0.0641026 200 0.0150754 4
si2_b03m_m200.03 40 0.0576923 200 0.0150754 4
si2_b03m_m200.00 40 0.0602564 200 0.0150251 4
si2_b03m_m200.08 40 0.0615385 200 0.0150754 4
si2_b03m_m200.06 40 0.0602564 200 0.0150754 4
si2_b03m_m200.02 40 0.0589744 200 0.0150251 4
si2_b03m_m200.09 40 0.0576923 200 0.0150754 4
si2_b03m_m200.04 40 0.0551282 200 0.0150251 4
si2_b03m_m200.01 40 0.0576923 200 0.0150754 4
si2_b03m_m200.07 40 0.0564103 200 0.0150251 4
si4_r001_m200.04 80 0.0348101 200 0.0223618 7
si4_r001_m200.07 80 0.0360759 200 0.0222613 7
si4_r001_m200.00 80 0.0329114 200 0.0221106 7
si4_r001_m200.01 80 0.0360759 200 0.0224623 7
si4_r001_m200.03 80 0.0344937 200 0.0219095 7
si4_r001_m200.06 80 0.0370253 200 0.0221608 7
si4_r001_m200.05 80 0.0344937 200 0.0224121 7
si4_r001_m200.08 80 0.0351266 200 0.0225126 7
si4_r001_m200.09 80 0.035443 200 0.0223116 7
si4_r001_m200.02 80 0.0376582 200 0.0226633 7
si2_m4D_m256.08 51 0.0815686 256 0.0205882 5
si2_m4D_m256.03 51 0.0831373 256 0.0205882 5
si2_m4D_m256.02 51 0.0784314 256 0.0205882 5
si2_m4D_m256.06 51 0.0831373 256 0.0205882 5
